sigma,filename,beam_width,func,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_3.txt,50,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_3.txt,50,imbs_glcs,h8,4,0.0540,True
sigma-2,mglcs_10_100_2_3.txt,100,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_3.txt,100,imbs_glcs,h8,4,0.0541,True
sigma-2,mglcs_10_100_2_3.txt,250,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_3.txt,250,imbs_glcs,h8,4,0.0548,True
sigma-2,mglcs_10_100_2_3.txt,500,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_3.txt,500,imbs_glcs,h8,4,0.0555,True
sigma-2,mglcs_10_100_2_4.txt,5,beam_search_glcs,h1,1,0.0010,True
sigma-2,mglcs_10_100_2_4.txt,5,imbs_glcs,h1,6,0.0540,True
sigma-2,mglcs_10_100_2_4.txt,10,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,10,imbs_glcs,h1,6,0.0540,True
sigma-2,mglcs_10_100_2_4.txt,20,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,20,imbs_glcs,h1,6,0.0534,True
sigma-2,mglcs_10_100_2_4.txt,50,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,50,imbs_glcs,h1,6,0.0531,True
sigma-2,mglcs_10_100_2_4.txt,100,beam_search_glcs,h1,1,0.0010,True
sigma-2,mglcs_10_100_2_4.txt,100,imbs_glcs,h1,6,0.0542,True
sigma-2,mglcs_10_100_2_4.txt,250,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,250,imbs_glcs,h1,6,0.0536,True
sigma-2,mglcs_10_100_2_4.txt,500,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,500,imbs_glcs,h1,6,0.0538,True
sigma-2,mglcs_10_100_2_4.txt,5,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,5,imbs_glcs,h2,6,0.0550,True
sigma-2,mglcs_10_100_2_4.txt,10,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,10,imbs_glcs,h2,6,0.0539,True
sigma-2,mglcs_10_100_2_4.txt,20,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,20,imbs_glcs,h2,6,0.0539,True
sigma-2,mglcs_10_100_2_4.txt,50,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,50,imbs_glcs,h2,6,0.0535,True
sigma-2,mglcs_10_100_2_4.txt,100,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,100,imbs_glcs,h2,6,0.0538,True
sigma-2,mglcs_10_100_2_4.txt,250,beam_search_glcs,h2,1,0.0005,True
sigma-2,mglcs_10_100_2_4.txt,250,imbs_glcs,h2,6,0.0534,True
sigma-2,mglcs_10_100_2_4.txt,500,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,500,imbs_glcs,h2,6,0.0542,True
sigma-2,mglcs_10_100_2_4.txt,5,beam_search_glcs,h5,1,0.0003,True
sigma-2,mglcs_10_100_2_4.txt,5,imbs_glcs,h5,6,0.0564,True
sigma-2,mglcs_10_100_2_4.txt,10,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,10,imbs_glcs,h5,6,0.0566,True
sigma-2,mglcs_10_100_2_4.txt,20,beam_search_glcs,h5,1,0.0010,True
sigma-2,mglcs_10_100_2_4.txt,20,imbs_glcs,h5,6,0.0633,True
sigma-2,mglcs_10_100_2_4.txt,50,beam_search_glcs,h5,1,0.0010,True
sigma-2,mglcs_10_100_2_4.txt,50,imbs_glcs,h5,6,0.0559,True
sigma-2,mglcs_10_100_2_4.txt,100,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,100,imbs_glcs,h5,6,0.0576,True
sigma-2,mglcs_10_100_2_4.txt,250,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,250,imbs_glcs,h5,6,0.0559,True
sigma-2,mglcs_10_100_2_4.txt,500,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_4.txt,500,imbs_glcs,h5,6,0.0557,True
sigma-2,mglcs_10_100_2_4.txt,5,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_4.txt,5,imbs_glcs,h8,6,0.0564,True
sigma-2,mglcs_10_100_2_4.txt,10,beam_search_glcs,h8,1,0.0009,True
sigma-2,mglcs_10_100_2_4.txt,10,imbs_glcs,h8,6,0.0581,True
sigma-2,mglcs_10_100_2_4.txt,20,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_4.txt,20,imbs_glcs,h8,6,0.0566,True
sigma-2,mglcs_10_100_2_4.txt,50,beam_search_glcs,h8,1,0.0010,True
sigma-2,mglcs_10_100_2_4.txt,50,imbs_glcs,h8,6,0.0574,True
sigma-2,mglcs_10_100_2_4.txt,100,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_4.txt,100,imbs_glcs,h8,6,0.0555,True
sigma-2,mglcs_10_100_2_4.txt,250,beam_search_glcs,h8,1,0.0014,True
sigma-2,mglcs_10_100_2_4.txt,250,imbs_glcs,h8,6,0.0560,True
sigma-2,mglcs_10_100_2_4.txt,500,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_4.txt,500,imbs_glcs,h8,6,0.0557,True
sigma-2,mglcs_10_100_2_5.txt,5,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_5.txt,5,imbs_glcs,h1,4,0.0714,True
