sigma,filename,beam_width,func,heuristic,length,time_s,feasible
sigma-2,mglcs_2_100_2_0.txt,1,imbs_glcs,h1,64,0.0000,True
sigma-2,mglcs_2_100_2_0.txt,1,beam_search_glcs,h2,62,0.0000,True
sigma-2,mglcs_2_100_2_0.txt,1,imbs_glcs,h2,62,0.0000,True
sigma-2,mglcs_2_100_2_0.txt,1,beam_search_glcs,h5,51,0.0023,True
sigma-2,mglcs_2_100_2_0.txt,1,imbs_glcs,h5,51,0.0012,True
sigma-2,mglcs_2_100_2_0.txt,1,beam_search_glcs,h8,50,0.0021,True
sigma-2,mglcs_2_100_2_0.txt,1,imbs_glcs,h8,50,0.0021,True
sigma-2,mglcs_2_100_2_1.txt,1,beam_search_glcs,h1,13,0.0010,True
sigma-2,mglcs_2_100_2_1.txt,1,imbs_glcs,h1,39,0.0020,True
sigma-2,mglcs_2_100_2_1.txt,1,beam_search_glcs,h2,7,0.0000,True
sigma-2,mglcs_2_100_2_1.txt,1,imbs_glcs,h2,24,0.0020,True
sigma-2,mglcs_2_100_2_1.txt,1,beam_search_glcs,h5,13,0.0012,True
sigma-2,mglcs_2_100_2_1.txt,1,imbs_glcs,h5,39,0.0030,True
sigma-2,mglcs_2_100_2_1.txt,1,beam_search_glcs,h8,14,0.0020,True
sigma-2,mglcs_2_100_2_1.txt,1,imbs_glcs,h8,25,0.0030,True
sigma-2,mglcs_2_100_2_2.txt,1,beam_search_glcs,h1,64,0.0000,True
sigma-2,mglcs_2_100_2_2.txt,1,imbs_glcs,h1,64,0.0011,True
sigma-2,mglcs_2_100_2_2.txt,1,beam_search_glcs,h2,4,0.0010,True
sigma-2,mglcs_2_100_2_2.txt,1,imbs_glcs,h2,27,0.0030,True
sigma-2,mglcs_2_100_2_2.txt,1,beam_search_glcs,h5,39,0.0010,True
sigma-2,mglcs_2_100_2_2.txt,1,imbs_glcs,h5,39,0.0020,True
sigma-2,mglcs_2_100_2_2.txt,1,beam_search_glcs,h8,4,0.0010,True
sigma-2,mglcs_2_100_2_2.txt,1,imbs_glcs,h8,31,0.0090,True
sigma-2,mglcs_2_100_2_3.txt,1,beam_search_glcs,h1,21,0.0010,True
sigma-2,mglcs_2_100_2_3.txt,1,imbs_glcs,h1,50,0.0030,True
sigma-2,mglcs_2_100_2_3.txt,1,beam_search_glcs,h2,21,0.0000,True
sigma-2,mglcs_2_100_2_3.txt,1,imbs_glcs,h2,43,0.0030,True
sigma-2,mglcs_2_100_2_3.txt,1,beam_search_glcs,h5,21,0.0010,True
sigma-2,mglcs_2_100_2_3.txt,1,imbs_glcs,h5,44,0.0042,True
sigma-2,mglcs_2_100_2_3.txt,1,beam_search_glcs,h8,5,0.0020,True
sigma-2,mglcs_2_100_2_3.txt,1,imbs_glcs,h8,40,0.0052,True
sigma-2,mglcs_2_100_2_4.txt,1,beam_search_glcs,h1,5,0.0000,True
sigma-2,mglcs_2_100_2_4.txt,1,imbs_glcs,h1,48,0.0020,True
sigma-2,mglcs_2_100_2_4.txt,1,beam_search_glcs,h2,5,0.0000,True
sigma-2,mglcs_2_100_2_4.txt,1,imbs_glcs,h2,51,0.0022,True
sigma-2,mglcs_2_100_2_4.txt,1,beam_search_glcs,h5,5,0.0000,True
sigma-2,mglcs_2_100_2_4.txt,1,imbs_glcs,h5,51,0.0034,True
sigma-2,mglcs_2_100_2_4.txt,1,beam_search_glcs,h8,24,0.0024,True
sigma-2,mglcs_2_100_2_4.txt,1,imbs_glcs,h8,44,0.0030,True
sigma-2,mglcs_2_100_2_5.txt,1,beam_search_glcs,h1,3,0.0000,True
sigma-2,mglcs_2_100_2_5.txt,1,imbs_glcs,h1,58,0.0030,True
sigma-2,mglcs_2_100_2_5.txt,1,beam_search_glcs,h2,3,0.0000,True
sigma-2,mglcs_2_100_2_5.txt,1,imbs_glcs,h2,42,0.0021,True
sigma-2,mglcs_2_100_2_5.txt,1,beam_search_glcs,h5,3,0.0000,True
sigma-2,mglcs_2_100_2_5.txt,1,imbs_glcs,h5,62,0.0036,True
sigma-2,mglcs_2_100_2_5.txt,1,beam_search_glcs,h8,3,0.0020,True
sigma-2,mglcs_2_100_2_5.txt,1,imbs_glcs,h8,46,0.0050,True
sigma-2,mglcs_2_100_2_6.txt,1,beam_search_glcs,h1,55,0.0010,True
sigma-2,mglcs_2_100_2_6.txt,1,imbs_glcs,h1,55,0.0010,True
sigma-2,mglcs_2_100_2_6.txt,1,beam_search_glcs,h2,71,0.0011,True
sigma-2,mglcs_2_100_2_6.txt,1,imbs_glcs,h2,71,0.0010,True
sigma-2,mglcs_2_100_2_6.txt,1,beam_search_glcs,h5,24,0.0010,True
sigma-2,mglcs_2_100_2_6.txt,1,imbs_glcs,h5,49,0.0030,True
sigma-2,mglcs_2_100_2_6.txt,1,beam_search_glcs,h8,24,0.0021,True
sigma-2,mglcs_2_100_2_6.txt,1,imbs_glcs,h8,48,0.0030,True
