sigma,filename,beam_width,func,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_2.txt,10,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,10,imbs_glcs,h2,5,0.1324,True
sigma-2,mglcs_10_100_2_2.txt,20,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,20,imbs_glcs,h2,5,0.1343,True
sigma-2,mglcs_10_100_2_2.txt,50,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,50,imbs_glcs,h2,5,0.1318,True
sigma-2,mglcs_10_100_2_2.txt,100,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,100,imbs_glcs,h2,5,0.0179,True
sigma-2,mglcs_10_100_2_2.txt,500,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,500,imbs_glcs,h2,5,0.0182,True
sigma-2,mglcs_10_100_2_2.txt,10000,beam_search_glcs,h2,1,0.0010,True
sigma-2,mglcs_10_100_2_2.txt,1,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,1,imbs_glcs,h5,7,0.0060,True
sigma-2,mglcs_10_100_2_2.txt,5,beam_search_glcs,h5,1,0.0011,True
sigma-2,mglcs_10_100_2_2.txt,5,imbs_glcs,h5,10,0.0475,True
sigma-2,mglcs_10_100_2_2.txt,10,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,10,imbs_glcs,h5,5,0.1374,True
sigma-2,mglcs_10_100_2_2.txt,20,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,20,imbs_glcs,h5,5,0.1359,True
sigma-2,mglcs_10_100_2_2.txt,50,beam_search_glcs,h5,1,0.0010,True
sigma-2,mglcs_10_100_2_2.txt,50,imbs_glcs,h5,5,0.1368,True
sigma-2,mglcs_10_100_2_2.txt,100,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,100,imbs_glcs,h5,5,0.0191,True
sigma-2,mglcs_10_100_2_2.txt,500,beam_search_glcs,h5,1,0.0010,True
sigma-2,mglcs_10_100_2_2.txt,500,imbs_glcs,h5,5,0.0180,True
sigma-2,mglcs_10_100_2_2.txt,10000,beam_search_glcs,h5,1,0.0000,True
sigma-2,mglcs_10_100_2_2.txt,1,beam_search_glcs,h8,1,0.0023,True
sigma-2,mglcs_10_100_2_2.txt,1,imbs_glcs,h8,5,0.0081,True
sigma-2,mglcs_10_100_2_2.txt,5,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_2.txt,5,imbs_glcs,h8,8,0.0434,True
sigma-2,mglcs_10_100_2_2.txt,10,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_2.txt,10,imbs_glcs,h8,5,0.1401,True
sigma-2,mglcs_10_100_2_2.txt,20,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_2.txt,20,imbs_glcs,h8,5,0.1361,True
sigma-2,mglcs_10_100_2_2.txt,50,beam_search_glcs,h8,1,0.0020,True
sigma-2,mglcs_10_100_2_2.txt,50,imbs_glcs,h8,5,0.1404,True
sigma-2,mglcs_10_100_2_2.txt,100,beam_search_glcs,h8,1,0.0016,True
sigma-2,mglcs_10_100_2_2.txt,100,imbs_glcs,h8,5,0.0205,True
sigma-2,mglcs_10_100_2_2.txt,500,beam_search_glcs,h8,1,0.0016,True
sigma-2,mglcs_10_100_2_2.txt,500,imbs_glcs,h8,5,0.0202,True
sigma-2,mglcs_10_100_2_2.txt,10000,beam_search_glcs,h8,1,0.0010,True
sigma-2,mglcs_10_100_2_3.txt,1,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,1,imbs_glcs,h1,5,0.0080,True
sigma-2,mglcs_10_100_2_3.txt,5,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,5,imbs_glcs,h1,6,0.0361,True
sigma-2,mglcs_10_100_2_3.txt,10,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,10,imbs_glcs,h1,8,0.1293,True
sigma-2,mglcs_10_100_2_3.txt,20,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,20,imbs_glcs,h1,8,0.1321,True
sigma-2,mglcs_10_100_2_3.txt,50,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,50,imbs_glcs,h1,8,0.1207,True
sigma-2,mglcs_10_100_2_3.txt,100,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,100,imbs_glcs,h1,5,0.0224,True
sigma-2,mglcs_10_100_2_3.txt,500,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,500,imbs_glcs,h1,5,0.0183,True
sigma-2,mglcs_10_100_2_3.txt,10000,beam_search_glcs,h1,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,1,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,1,imbs_glcs,h2,4,0.0041,True
sigma-2,mglcs_10_100_2_3.txt,5,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,5,imbs_glcs,h2,9,0.0431,True
sigma-2,mglcs_10_100_2_3.txt,10,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,10,imbs_glcs,h2,8,0.1229,True
sigma-2,mglcs_10_100_2_3.txt,20,beam_search_glcs,h2,1,0.0000,True
sigma-2,mglcs_10_100_2_3.txt,20,imbs_glcs,h2,8,0.1406,True
sigma-2,mglcs_10_100_2_3.txt,50,beam_search_glcs,h2,1,0.0000,True
