sigma,filename,beam_width,func,heuristic,length,time_s,feasible
sigma-2,mglcs_10_100_2_8.txt,1,beam_search_glcs,new_h8,1,0.0015,True
sigma-2,mglcs_10_100_2_8.txt,1,imbs_glcs,new_h8,3,0.0084,True
sigma-2,mglcs_10_100_2_8.txt,5,beam_search_glcs,new_h8,1,0.0019,True
sigma-2,mglcs_10_100_2_8.txt,5,imbs_glcs,new_h8,5,0.0513,True
sigma-2,mglcs_10_100_2_8.txt,10,beam_search_glcs,new_h8,1,0.0020,True
sigma-2,mglcs_10_100_2_8.txt,10,imbs_glcs,new_h8,5,0.1264,True
sigma-2,mglcs_10_100_2_8.txt,20,beam_search_glcs,new_h8,1,0.0157,True
sigma-2,mglcs_10_100_2_8.txt,20,imbs_glcs,new_h8,5,0.1353,True
sigma-2,mglcs_10_100_2_8.txt,50,beam_search_glcs,new_h8,1,0.0015,True
sigma-2,mglcs_10_100_2_8.txt,50,imbs_glcs,new_h8,5,0.1380,True
sigma-2,mglcs_10_100_2_8.txt,100,beam_search_glcs,new_h8,1,0.0010,True
sigma-2,mglcs_10_100_2_8.txt,100,imbs_glcs,new_h8,3,0.0179,True
sigma-2,mglcs_10_100_2_8.txt,250,beam_search_glcs,new_h8,1,0.0020,True
sigma-2,mglcs_10_100_2_8.txt,250,imbs_glcs,new_h8,3,0.0183,True
sigma-2,mglcs_10_100_2_8.txt,500,beam_search_glcs,new_h8,1,0.0010,True
sigma-2,mglcs_10_100_2_8.txt,500,imbs_glcs,new_h8,3,0.0184,True
sigma-2,mglcs_10_100_2_8.txt,10000,beam_search_glcs,new_h8,1,0.0010,True
sigma-2,mglcs_10_100_2_9.txt,1,beam_search_glcs,new_h8,1,0.0025,True
sigma-2,mglcs_10_100_2_9.txt,1,imbs_glcs,new_h8,8,0.0090,True
sigma-2,mglcs_10_100_2_9.txt,5,beam_search_glcs,new_h8,1,0.0010,True
sigma-2,mglcs_10_100_2_9.txt,5,imbs_glcs,new_h8,7,0.0382,True
