sigma,filename,beam_width,base_heuristic,length_normal,length_prob,delta_length,time_s_normal,time_s_prob,delta_time
sigma-2,mglcs_2_100_2_3.txt,10,h7,36.0,77.0,41.0,0.0067,0.2943,0.2876
sigma-2,mglcs_2_100_2_4.txt,10,h1,24.0,24.0,0.0,0.0014,0.1274,0.126
sigma-2,mglcs_2_100_2_4.txt,10,h2,24.0,24.0,0.0,0.0015,0.092,0.0905
sigma-2,mglcs_2_100_2_4.txt,10,h3,24.0,24.0,0.0,0.0015,0.1125,0.111
sigma-2,mglcs_2_100_2_4.txt,10,h4,24.0,24.0,0.0,0.0016,0.1841,0.18250000000000002
sigma-2,mglcs_2_100_2_4.txt,10,h5,24.0,24.0,0.0,0.0025,0.1653,0.1628
sigma-2,mglcs_2_100_2_4.txt,10,h6,24.0,24.0,0.0,0.0015,0.1166,0.1151
sigma-2,mglcs_2_100_2_4.txt,10,h7,24.0,24.0,0.0,0.0016,0.0584,0.0568
sigma-2,mglcs_2_100_2_5.txt,10,h1,3.0,3.0,0.0,0.0001,0.0121,0.012
sigma-2,mglcs_2_100_2_5.txt,10,h2,3.0,3.0,0.0,0.0002,0.0149,0.0147
sigma-2,mglcs_2_100_2_5.txt,10,h3,3.0,3.0,0.0,0.0001,0.0151,0.015000000000000001
sigma-2,mglcs_2_100_2_5.txt,10,h4,3.0,3.0,0.0,0.0002,0.0147,0.014499999999999999
sigma-2,mglcs_2_100_2_5.txt,10,h5,3.0,3.0,0.0,0.0003,0.0222,0.0219
