sigma,filename,beam_width,heuristic,length,time_s,feasible
sigma-2,mglcs_10_50_2_8.txt,500,h2,3,0.0031,True
sigma-2,mglcs_10_50_2_8.txt,500,h3,3,0.0035,True
sigma-2,mglcs_10_50_2_8.txt,500,h4,3,0.0025,True
sigma-2,mglcs_10_50_2_8.txt,500,h5,3,0.0030,True
sigma-2,mglcs_10_50_2_8.txt,500,h6,3,0.0028,True
sigma-2,mglcs_10_50_2_8.txt,500,h7,3,0.0030,True
sigma-2,mglcs_10_50_2_8.txt,500,h8,3,0.0086,True
sigma-2,mglcs_10_50_2_9.txt,500,h1,5,0.0023,True
sigma-2,mglcs_10_50_2_9.txt,500,h2,5,0.0027,True
sigma-2,mglcs_10_50_2_9.txt,500,h3,5,0.0021,True
sigma-2,mglcs_10_50_2_9.txt,500,h4,5,0.0031,True
sigma-2,mglcs_10_50_2_9.txt,500,h5,5,0.0062,True
sigma-2,mglcs_10_50_2_9.txt,500,h6,5,0.0035,True
sigma-2,mglcs_10_50_2_9.txt,500,h7,5,0.0026,True
sigma-2,mglcs_10_50_2_9.txt,500,h8,5,0.0078,True
sigma-2,mglcs_2_100_2_0.txt,500,h1,69,0.3272,True
sigma-2,mglcs_2_100_2_0.txt,500,h2,71,0.4087,True
sigma-2,mglcs_2_100_2_0.txt,500,h3,69,0.4195,True
sigma-2,mglcs_2_100_2_0.txt,500,h4,62,0.3707,True
sigma-2,mglcs_2_100_2_0.txt,500,h5,71,0.6462,True
sigma-2,mglcs_2_100_2_0.txt,500,h6,69,0.3907,True
sigma-2,mglcs_2_100_2_0.txt,500,h7,71,0.4118,True
sigma-2,mglcs_2_100_2_0.txt,500,h8,65,0.3796,True
sigma-2,mglcs_2_100_2_1.txt,500,h1,33,0.0337,True
sigma-2,mglcs_2_100_2_1.txt,500,h2,33,0.0330,True
sigma-2,mglcs_2_100_2_1.txt,500,h3,33,0.0324,True
sigma-2,mglcs_2_100_2_1.txt,500,h4,33,0.0324,True
sigma-2,mglcs_2_100_2_1.txt,500,h5,33,0.0519,True
sigma-2,mglcs_2_100_2_1.txt,500,h6,33,0.0311,True
sigma-2,mglcs_2_100_2_1.txt,500,h7,33,0.0326,True
sigma-2,mglcs_2_100_2_1.txt,500,h8,33,0.0408,True
sigma-2,mglcs_2_100_2_2.txt,500,h1,69,0.1521,True
sigma-2,mglcs_2_100_2_2.txt,500,h2,70,0.1795,True
sigma-2,mglcs_2_100_2_2.txt,500,h3,68,0.1724,True
sigma-2,mglcs_2_100_2_2.txt,500,h4,68,0.1649,True
sigma-2,mglcs_2_100_2_2.txt,500,h5,70,0.2866,True
sigma-2,mglcs_2_100_2_2.txt,500,h6,68,0.1616,True
sigma-2,mglcs_2_100_2_2.txt,500,h7,70,0.1859,True
sigma-2,mglcs_2_100_2_2.txt,500,h8,66,0.1689,True
sigma-2,mglcs_2_100_2_3.txt,500,h1,74,0.2698,True
sigma-2,mglcs_2_100_2_3.txt,500,h2,78,0.3259,True
sigma-2,mglcs_2_100_2_3.txt,500,h3,76,0.2573,True
sigma-2,mglcs_2_100_2_3.txt,500,h4,70,0.2607,True
sigma-2,mglcs_2_100_2_3.txt,500,h5,78,0.5110,True
sigma-2,mglcs_2_100_2_3.txt,500,h6,75,0.2907,True
sigma-2,mglcs_2_100_2_3.txt,500,h7,78,0.3428,True
sigma-2,mglcs_2_100_2_3.txt,500,h8,69,0.3093,True
sigma-2,mglcs_2_100_2_4.txt,500,h1,48,0.1445,True
sigma-2,mglcs_2_100_2_4.txt,500,h2,52,0.1793,True
sigma-2,mglcs_2_100_2_4.txt,500,h3,46,0.1379,True
sigma-2,mglcs_2_100_2_4.txt,500,h4,48,0.1523,True
sigma-2,mglcs_2_100_2_4.txt,500,h5,52,0.2841,True
sigma-2,mglcs_2_100_2_4.txt,500,h6,49,0.1473,True
sigma-2,mglcs_2_100_2_4.txt,500,h7,52,0.1906,True
sigma-2,mglcs_2_100_2_4.txt,500,h8,44,0.1556,True
sigma-2,mglcs_2_100_2_5.txt,500,h1,70,0.2437,True
sigma-2,mglcs_2_100_2_5.txt,500,h2,62,0.2482,True
sigma-2,mglcs_2_100_2_5.txt,500,h3,66,0.2567,True
sigma-2,mglcs_2_100_2_5.txt,500,h4,68,0.2399,True
sigma-2,mglcs_2_100_2_5.txt,500,h5,62,0.3784,True
sigma-2,mglcs_2_100_2_5.txt,500,h6,62,0.2265,True
sigma-2,mglcs_2_100_2_5.txt,500,h7,62,0.2534,True
sigma-2,mglcs_2_100_2_5.txt,500,h8,60,0.2671,True
sigma-2,mglcs_2_100_2_6.txt,500,h1,74,0.2748,True
sigma-2,mglcs_2_100_2_6.txt,500,h2,73,0.3585,True
sigma-2,mglcs_2_100_2_6.txt,500,h3,68,0.3157,True
sigma-2,mglcs_2_100_2_6.txt,500,h4,73,0.2928,True
sigma-2,mglcs_2_100_2_6.txt,500,h5,74,0.5555,True
sigma-2,mglcs_2_100_2_6.txt,500,h6,71,0.3096,True
sigma-2,mglcs_2_100_2_6.txt,500,h7,75,0.3624,True
sigma-2,mglcs_2_100_2_6.txt,500,h8,66,0.3301,True
sigma-2,mglcs_2_100_2_7.txt,500,h1,54,0.0867,True
sigma-2,mglcs_2_100_2_7.txt,500,h2,55,0.0975,True
sigma-2,mglcs_2_100_2_7.txt,500,h3,54,0.1018,True
sigma-2,mglcs_2_100_2_7.txt,500,h4,54,0.0981,True
sigma-2,mglcs_2_100_2_7.txt,500,h5,55,0.1488,True
sigma-2,mglcs_2_100_2_7.txt,500,h6,55,0.1047,True
sigma-2,mglcs_2_100_2_7.txt,500,h7,55,0.1061,True
sigma-2,mglcs_2_100_2_7.txt,500,h8,52,0.1099,True
sigma-2,mglcs_2_100_2_8.txt,500,h1,73,0.1069,True
sigma-2,mglcs_2_100_2_8.txt,500,h2,74,0.1091,True
sigma-2,mglcs_2_100_2_8.txt,500,h3,73,0.1162,True
sigma-2,mglcs_2_100_2_8.txt,500,h4,72,0.1186,True
sigma-2,mglcs_2_100_2_8.txt,500,h5,74,0.1668,True
sigma-2,mglcs_2_100_2_8.txt,500,h6,74,0.1067,True
sigma-2,mglcs_2_100_2_8.txt,500,h7,74,0.1112,True
sigma-2,mglcs_2_100_2_8.txt,500,h8,71,0.1303,True
sigma-2,mglcs_2_100_2_9.txt,500,h1,62,0.0528,True
sigma-2,mglcs_2_100_2_9.txt,500,h2,62,0.0584,True
sigma-2,mglcs_2_100_2_9.txt,500,h3,62,0.0557,True
sigma-2,mglcs_2_100_2_9.txt,500,h4,62,0.0594,True
sigma-2,mglcs_2_100_2_9.txt,500,h5,62,0.0847,True
sigma-2,mglcs_2_100_2_9.txt,500,h6,62,0.0573,True
sigma-2,mglcs_2_100_2_9.txt,500,h7,62,0.0576,True
sigma-2,mglcs_2_100_2_9.txt,500,h8,62,0.0677,True
sigma-2,mglcs_2_200_2_0.txt,500,h1,91,0.8877,True
sigma-2,mglcs_2_200_2_0.txt,500,h2,87,1.1452,True
sigma-2,mglcs_2_200_2_0.txt,500,h3,89,0.8950,True
sigma-2,mglcs_2_200_2_0.txt,500,h4,90,0.9304,True
sigma-2,mglcs_2_200_2_0.txt,500,h5,87,1.7239,True
sigma-2,mglcs_2_200_2_0.txt,500,h6,91,0.9300,True
sigma-2,mglcs_2_200_2_0.txt,500,h7,87,1.1753,True
sigma-2,mglcs_2_200_2_0.txt,500,h8,88,0.9073,True
sigma-2,mglcs_2_200_2_1.txt,500,h1,107,0.9611,True
sigma-2,mglcs_2_200_2_1.txt,500,h2,113,1.2412,True
sigma-2,mglcs_2_200_2_1.txt,500,h3,110,1.1070,True
sigma-2,mglcs_2_200_2_1.txt,500,h4,83,0.9285,True
sigma-2,mglcs_2_200_2_1.txt,500,h5,113,1.8464,True
sigma-2,mglcs_2_200_2_1.txt,500,h6,85,0.9447,True
sigma-2,mglcs_2_200_2_1.txt,500,h7,113,1.2743,True
sigma-2,mglcs_2_200_2_1.txt,500,h8,111,1.2022,True
sigma-2,mglcs_2_200_2_2.txt,500,h1,93,0.8875,True
sigma-2,mglcs_2_200_2_2.txt,500,h2,96,1.0318,True
sigma-2,mglcs_2_200_2_2.txt,500,h3,83,0.7266,True
sigma-2,mglcs_2_200_2_2.txt,500,h4,93,0.9391,True
sigma-2,mglcs_2_200_2_2.txt,500,h5,96,1.5350,True
sigma-2,mglcs_2_200_2_2.txt,500,h6,94,0.9249,True
sigma-2,mglcs_2_200_2_2.txt,500,h7,96,1.0475,True
sigma-2,mglcs_2_200_2_2.txt,500,h8,91,0.9793,True
sigma-2,mglcs_2_200_2_3.txt,500,h1,144,1.1864,True
sigma-2,mglcs_2_200_2_3.txt,500,h2,86,0.8587,True
sigma-2,mglcs_2_200_2_3.txt,500,h3,133,1.1157,True
sigma-2,mglcs_2_200_2_3.txt,500,h4,127,1.1685,True
sigma-2,mglcs_2_200_2_3.txt,500,h5,98,1.3339,True
sigma-2,mglcs_2_200_2_3.txt,500,h6,131,1.0788,True
sigma-2,mglcs_2_200_2_3.txt,500,h7,97,0.8854,True
sigma-2,mglcs_2_200_2_3.txt,500,h8,133,1.1458,True
sigma-2,mglcs_2_200_2_4.txt,500,h1,152,1.3626,True
sigma-2,mglcs_2_200_2_4.txt,500,h2,158,1.5413,True
sigma-2,mglcs_2_200_2_4.txt,500,h3,145,1.2135,True
sigma-2,mglcs_2_200_2_4.txt,500,h4,105,1.1318,True
sigma-2,mglcs_2_200_2_4.txt,500,h5,159,2.3632,True
sigma-2,mglcs_2_200_2_4.txt,500,h6,152,1.3691,True
sigma-2,mglcs_2_200_2_4.txt,500,h7,84,1.3823,True
sigma-2,mglcs_2_200_2_4.txt,500,h8,142,1.4630,True
sigma-2,mglcs_2_200_2_5.txt,500,h1,136,1.0491,True
sigma-2,mglcs_2_200_2_5.txt,500,h2,103,0.8647,True
sigma-2,mglcs_2_200_2_5.txt,500,h3,93,0.7291,True
sigma-2,mglcs_2_200_2_5.txt,500,h4,130,1.0662,True
sigma-2,mglcs_2_200_2_5.txt,500,h5,103,1.3539,True
sigma-2,mglcs_2_200_2_5.txt,500,h6,139,1.2046,True
sigma-2,mglcs_2_200_2_5.txt,500,h7,102,0.9816,True
sigma-2,mglcs_2_200_2_5.txt,500,h8,98,0.8956,True
sigma-2,mglcs_2_200_2_6.txt,500,h1,135,0.9566,True
sigma-2,mglcs_2_200_2_6.txt,500,h2,104,0.7931,True
sigma-2,mglcs_2_200_2_6.txt,500,h3,68,0.5285,True
sigma-2,mglcs_2_200_2_6.txt,500,h4,133,1.0120,True
sigma-2,mglcs_2_200_2_6.txt,500,h5,143,1.5994,True
sigma-2,mglcs_2_200_2_6.txt,500,h6,132,0.9536,True
sigma-2,mglcs_2_200_2_6.txt,500,h7,104,0.9311,True
sigma-2,mglcs_2_200_2_6.txt,500,h8,100,0.8575,True
sigma-2,mglcs_2_200_2_7.txt,500,h1,152,1.0542,True
sigma-2,mglcs_2_200_2_7.txt,500,h2,154,1.1101,True
sigma-2,mglcs_2_200_2_7.txt,500,h3,147,0.9546,True
sigma-2,mglcs_2_200_2_7.txt,500,h4,143,0.9972,True
sigma-2,mglcs_2_200_2_7.txt,500,h5,155,1.8686,True
sigma-2,mglcs_2_200_2_7.txt,500,h6,153,1.0678,True
sigma-2,mglcs_2_200_2_7.txt,500,h7,154,1.2109,True
sigma-2,mglcs_2_200_2_7.txt,500,h8,145,1.1730,True
sigma-2,mglcs_2_200_2_8.txt,500,h1,130,1.3459,True
