sigma,filename,beam_width,heuristic,length,time_s,feasible
sigma-2,mglcs_2_100_2_1.txt,10,h6,18,0.004,True
sigma-2,mglcs_2_100_2_1.txt,10,h7,19,0.0045,True
sigma-2,mglcs_2_100_2_1.txt,10,h8,18,0.006,True
sigma-2,mglcs_2_100_2_2.txt,10,h1,66,0.0045,True
sigma-2,mglcs_2_100_2_2.txt,10,h2,42,0.004,True
sigma-2,mglcs_2_100_2_2.txt,10,h3,67,0.004,True
sigma-2,mglcs_2_100_2_2.txt,10,h4,64,0.0045,True
sigma-2,mglcs_2_100_2_2.txt,10,h5,42,0.005,True
sigma-2,mglcs_2_100_2_2.txt,10,h6,70,0.004,True
sigma-2,mglcs_2_100_2_2.txt,10,h7,70,0.004,True
sigma-2,mglcs_2_100_2_2.txt,10,h8,41,0.0065,True
sigma-2,mglcs_2_100_2_3.txt,10,h1,72,0.006,True
sigma-2,mglcs_2_100_2_3.txt,10,h2,43,0.007,True
sigma-2,mglcs_2_100_2_3.txt,10,h3,41,0.005,True
sigma-2,mglcs_2_100_2_3.txt,10,h4,72,0.0072,True
sigma-2,mglcs_2_100_2_3.txt,10,h5,43,0.0105,True
sigma-2,mglcs_2_100_2_3.txt,10,h6,76,0.0065,True
sigma-2,mglcs_2_100_2_3.txt,10,h7,43,0.006,True
sigma-2,mglcs_2_100_2_3.txt,10,h8,36,0.008,True
sigma-2,mglcs_2_100_2_4.txt,10,h1,47,0.004,True
sigma-2,mglcs_2_100_2_4.txt,10,h2,49,0.0045,True
sigma-2,mglcs_2_100_2_4.txt,10,h3,46,0.005,True
sigma-2,mglcs_2_100_2_4.txt,10,h4,47,0.0055,True
sigma-2,mglcs_2_100_2_4.txt,10,h5,49,0.0071,True
sigma-2,mglcs_2_100_2_4.txt,10,h6,47,0.004,True
sigma-2,mglcs_2_100_2_4.txt,10,h7,49,0.0055,True
sigma-2,mglcs_2_100_2_4.txt,10,h8,43,0.007,True
sigma-2,mglcs_2_100_2_5.txt,10,h1,67,0.006,True
sigma-2,mglcs_2_100_2_5.txt,10,h2,46,0.0052,True
sigma-2,mglcs_2_100_2_5.txt,10,h3,66,0.0045,True
sigma-2,mglcs_2_100_2_5.txt,10,h4,69,0.007,True
sigma-2,mglcs_2_100_2_5.txt,10,h5,39,0.0075,True
sigma-2,mglcs_2_100_2_5.txt,10,h6,61,0.0065,True
sigma-2,mglcs_2_100_2_5.txt,10,h7,46,0.005,True
sigma-2,mglcs_2_100_2_5.txt,10,h8,45,0.0085,True
sigma-2,mglcs_2_100_2_6.txt,10,h1,56,0.005,True
sigma-2,mglcs_2_100_2_6.txt,10,h2,71,0.0072,True
sigma-2,mglcs_2_100_2_6.txt,10,h3,67,0.007,True
sigma-2,mglcs_2_100_2_6.txt,10,h4,56,0.0061,True
sigma-2,mglcs_2_100_2_6.txt,10,h5,73,0.0135,True
sigma-2,mglcs_2_100_2_6.txt,10,h6,74,0.007,True
sigma-2,mglcs_2_100_2_6.txt,10,h7,72,0.0075,True
sigma-2,mglcs_2_100_2_6.txt,10,h8,71,0.0093,True
sigma-2,mglcs_2_100_2_7.txt,10,h1,54,0.0041,True
sigma-2,mglcs_2_100_2_7.txt,10,h2,49,0.004,True
sigma-2,mglcs_2_100_2_7.txt,10,h3,53,0.0075,True
sigma-2,mglcs_2_100_2_7.txt,10,h4,37,0.0065,True
sigma-2,mglcs_2_100_2_7.txt,10,h5,49,0.0105,True
sigma-2,mglcs_2_100_2_7.txt,10,h6,54,0.006,True
sigma-2,mglcs_2_100_2_7.txt,10,h7,49,0.0053,True
sigma-2,mglcs_2_100_2_7.txt,10,h8,49,0.0081,True
sigma-2,mglcs_2_100_2_8.txt,10,h1,72,0.0035,True
sigma-2,mglcs_2_100_2_8.txt,10,h2,72,0.004,True
sigma-2,mglcs_2_100_2_8.txt,10,h3,72,0.002,True
sigma-2,mglcs_2_100_2_8.txt,10,h4,72,0.003,True
sigma-2,mglcs_2_100_2_8.txt,10,h5,69,0.0078,True
sigma-2,mglcs_2_100_2_8.txt,10,h6,74,0.004,True
sigma-2,mglcs_2_100_2_8.txt,10,h7,69,0.004,True
sigma-2,mglcs_2_100_2_8.txt,10,h8,72,0.0055,True
sigma-2,mglcs_2_100_2_9.txt,10,h1,38,0.005,True
sigma-2,mglcs_2_100_2_9.txt,10,h2,47,0.0075,True
sigma-2,mglcs_2_100_2_9.txt,10,h3,46,0.003,True
sigma-2,mglcs_2_100_2_9.txt,10,h4,59,0.0045,True
sigma-2,mglcs_2_100_2_9.txt,10,h5,47,0.01,True
sigma-2,mglcs_2_100_2_9.txt,10,h6,46,0.0061,True
sigma-2,mglcs_2_100_2_9.txt,10,h7,47,0.0065,True
sigma-2,mglcs_2_100_2_9.txt,10,h8,48,0.006,True
sigma-2,mglcs_2_200_2_0.txt,10,h1,89,0.0125,True
sigma-2,mglcs_2_200_2_0.txt,10,h2,62,0.0175,True
sigma-2,mglcs_2_200_2_0.txt,10,h3,88,0.0122,True
sigma-2,mglcs_2_200_2_0.txt,10,h4,89,0.014,True
sigma-2,mglcs_2_200_2_0.txt,10,h5,93,0.022,True
sigma-2,mglcs_2_200_2_0.txt,10,h6,93,0.0135,True
sigma-2,mglcs_2_200_2_0.txt,10,h7,85,0.019,True
sigma-2,mglcs_2_200_2_0.txt,10,h8,90,0.0194,True
sigma-2,mglcs_2_200_2_1.txt,10,h1,49,0.017,True
sigma-2,mglcs_2_200_2_1.txt,10,h2,76,0.0155,True
sigma-2,mglcs_2_200_2_1.txt,10,h3,88,0.0135,True
sigma-2,mglcs_2_200_2_1.txt,10,h4,82,0.0135,True
sigma-2,mglcs_2_200_2_1.txt,10,h5,113,0.0267,True
sigma-2,mglcs_2_200_2_1.txt,10,h6,87,0.0145,True
sigma-2,mglcs_2_200_2_1.txt,10,h7,76,0.017,True
sigma-2,mglcs_2_200_2_1.txt,10,h8,108,0.02,True
sigma-2,mglcs_2_200_2_2.txt,10,h1,89,0.0137,True
sigma-2,mglcs_2_200_2_2.txt,10,h2,94,0.0135,True
sigma-2,mglcs_2_200_2_2.txt,10,h3,90,0.013,True
sigma-2,mglcs_2_200_2_2.txt,10,h4,92,0.014,True
sigma-2,mglcs_2_200_2_2.txt,10,h5,96,0.025,True
sigma-2,mglcs_2_200_2_2.txt,10,h6,50,0.0148,True
sigma-2,mglcs_2_200_2_2.txt,10,h7,96,0.0155,True
sigma-2,mglcs_2_200_2_2.txt,10,h8,48,0.026,True
sigma-2,mglcs_2_200_2_3.txt,10,h1,137,0.0175,True
sigma-2,mglcs_2_200_2_3.txt,10,h2,53,0.0182,True
sigma-2,mglcs_2_200_2_3.txt,10,h3,45,0.0156,True
sigma-2,mglcs_2_200_2_3.txt,10,h4,89,0.017,True
sigma-2,mglcs_2_200_2_3.txt,10,h5,53,0.0285,True
sigma-2,mglcs_2_200_2_3.txt,10,h6,49,0.018,True
sigma-2,mglcs_2_200_2_3.txt,10,h7,54,0.017,True
sigma-2,mglcs_2_200_2_3.txt,10,h8,51,0.0275,True
sigma-2,mglcs_2_200_2_4.txt,10,h1,92,0.015,True
sigma-2,mglcs_2_200_2_4.txt,10,h2,159,0.0204,True
sigma-2,mglcs_2_200_2_4.txt,10,h3,87,0.0155,True
sigma-2,mglcs_2_200_2_4.txt,10,h4,106,0.019,True
sigma-2,mglcs_2_200_2_4.txt,10,h5,159,0.0346,True
sigma-2,mglcs_2_200_2_4.txt,10,h6,156,0.0221,True
sigma-2,mglcs_2_200_2_4.txt,10,h7,84,0.0236,True
sigma-2,mglcs_2_200_2_4.txt,10,h8,152,0.0282,True
sigma-2,mglcs_2_200_2_5.txt,10,h1,135,0.0177,True
sigma-2,mglcs_2_200_2_5.txt,10,h2,60,0.0165,True
sigma-2,mglcs_2_200_2_5.txt,10,h3,94,0.014,True
sigma-2,mglcs_2_200_2_5.txt,10,h4,133,0.0189,True
sigma-2,mglcs_2_200_2_5.txt,10,h5,101,0.0245,True
sigma-2,mglcs_2_200_2_5.txt,10,h6,140,0.02,True
sigma-2,mglcs_2_200_2_5.txt,10,h7,98,0.0201,True
sigma-2,mglcs_2_200_2_5.txt,10,h8,133,0.0302,True
sigma-2,mglcs_2_200_2_6.txt,10,h1,134,0.0163,True
