sigma,filename,beam_width,func,heuristic,length,time_s,feasible
sigma-2,mglcs_10_1000_2_3.txt,50,imbs_glcs,h8,4,0.2956,True
sigma-2,mglcs_10_1000_2_3.txt,100,beam_search_glcs,h8,3,0.1561,True
sigma-2,mglcs_10_1000_2_3.txt,100,imbs_glcs,h8,4,0.2976,True
sigma-2,mglcs_10_1000_2_3.txt,250,beam_search_glcs,h8,3,0.1525,True
sigma-2,mglcs_10_1000_2_3.txt,250,imbs_glcs,h8,4,0.2954,True
sigma-2,mglcs_10_1000_2_3.txt,500,beam_search_glcs,h8,3,0.1526,True
sigma-2,mglcs_10_1000_2_3.txt,500,imbs_glcs,h8,4,0.3005,True
sigma-2,mglcs_10_1000_2_3.txt,1000,beam_search_glcs,h8,3,0.1519,True
sigma-2,mglcs_10_1000_2_3.txt,1000,imbs_glcs,h8,4,0.2936,True
sigma-2,mglcs_10_1000_2_3.txt,2500,beam_search_glcs,h8,3,0.1501,True
sigma-2,mglcs_10_1000_2_3.txt,2500,imbs_glcs,h8,4,0.2876,True
sigma-2,mglcs_10_1000_2_3.txt,10000,beam_search_glcs,h8,3,0.1465,True
sigma-2,mglcs_10_1000_2_4.txt,1,beam_search_glcs,h2,2,0.0010,True
sigma-2,mglcs_10_1000_2_4.txt,1,imbs_glcs,h2,3,0.0260,True
sigma-2,mglcs_10_1000_2_4.txt,10,beam_search_glcs,h2,2,0.0030,True
sigma-2,mglcs_10_1000_2_4.txt,10,imbs_glcs,h2,6,0.1780,True
sigma-2,mglcs_10_1000_2_4.txt,50,beam_search_glcs,h2,2,0.0021,True
sigma-2,mglcs_10_1000_2_4.txt,50,imbs_glcs,h2,6,0.1733,True
sigma-2,mglcs_10_1000_2_4.txt,100,beam_search_glcs,h2,2,0.0020,True
sigma-2,mglcs_10_1000_2_4.txt,100,imbs_glcs,h2,6,0.1731,True
sigma-2,mglcs_10_1000_2_4.txt,250,beam_search_glcs,h2,2,0.0030,True
sigma-2,mglcs_10_1000_2_4.txt,250,imbs_glcs,h2,6,0.1735,True
sigma-2,mglcs_10_1000_2_4.txt,500,beam_search_glcs,h2,2,0.0020,True
sigma-2,mglcs_10_1000_2_4.txt,500,imbs_glcs,h2,6,0.1731,True
sigma-2,mglcs_10_1000_2_4.txt,1000,beam_search_glcs,h2,2,0.0020,True
sigma-2,mglcs_10_1000_2_4.txt,1000,imbs_glcs,h2,6,0.1751,True
sigma-2,mglcs_10_1000_2_4.txt,2500,beam_search_glcs,h2,2,0.0021,True
sigma-2,mglcs_10_1000_2_4.txt,2500,imbs_glcs,h2,6,0.1735,True
sigma-2,mglcs_10_1000_2_4.txt,10000,beam_search_glcs,h2,2,0.0020,True
sigma-2,mglcs_10_1000_2_4.txt,1,beam_search_glcs,h5,2,0.0040,True
sigma-2,mglcs_10_1000_2_4.txt,1,imbs_glcs,h5,2,0.0260,True
sigma-2,mglcs_10_1000_2_4.txt,10,beam_search_glcs,h5,2,0.0050,True
sigma-2,mglcs_10_1000_2_4.txt,10,imbs_glcs,h5,6,0.1741,True
sigma-2,mglcs_10_1000_2_4.txt,50,beam_search_glcs,h5,2,0.0050,True
sigma-2,mglcs_10_1000_2_4.txt,50,imbs_glcs,h5,6,0.1730,True
sigma-2,mglcs_10_1000_2_4.txt,100,beam_search_glcs,h5,2,0.0040,True
sigma-2,mglcs_10_1000_2_4.txt,100,imbs_glcs,h5,6,0.1735,True
sigma-2,mglcs_10_1000_2_4.txt,250,beam_search_glcs,h5,2,0.0040,True
sigma-2,mglcs_10_1000_2_4.txt,250,imbs_glcs,h5,6,0.1750,True
sigma-2,mglcs_10_1000_2_4.txt,500,beam_search_glcs,h5,2,0.0050,True
sigma-2,mglcs_10_1000_2_4.txt,500,imbs_glcs,h5,6,0.1691,True
sigma-2,mglcs_10_1000_2_4.txt,1000,beam_search_glcs,h5,2,0.0050,True
sigma-2,mglcs_10_1000_2_4.txt,1000,imbs_glcs,h5,6,0.1730,True
sigma-2,mglcs_10_1000_2_4.txt,2500,beam_search_glcs,h5,2,0.0040,True
sigma-2,mglcs_10_1000_2_4.txt,2500,imbs_glcs,h5,6,0.1775,True
sigma-2,mglcs_10_1000_2_4.txt,10000,beam_search_glcs,h5,2,0.0045,True
sigma-2,mglcs_10_1000_2_4.txt,1,beam_search_glcs,h8,2,0.1455,True
sigma-2,mglcs_10_1000_2_4.txt,1,imbs_glcs,h8,2,0.1660,True
sigma-2,mglcs_10_1000_2_4.txt,10,beam_search_glcs,h8,2,0.1485,True
sigma-2,mglcs_10_1000_2_4.txt,10,imbs_glcs,h8,6,0.3295,True
sigma-2,mglcs_10_1000_2_4.txt,50,beam_search_glcs,h8,2,0.1411,True
sigma-2,mglcs_10_1000_2_4.txt,50,imbs_glcs,h8,6,0.3436,True
sigma-2,mglcs_10_1000_2_4.txt,100,beam_search_glcs,h8,2,0.1631,True
sigma-2,mglcs_10_1000_2_4.txt,100,imbs_glcs,h8,6,0.3146,True
sigma-2,mglcs_10_1000_2_4.txt,250,beam_search_glcs,h8,2,0.1546,True
sigma-2,mglcs_10_1000_2_4.txt,250,imbs_glcs,h8,6,0.3516,True
sigma-2,mglcs_10_1000_2_4.txt,500,beam_search_glcs,h8,2,0.1571,True
sigma-2,mglcs_10_1000_2_4.txt,500,imbs_glcs,h8,6,0.3456,True
sigma-2,mglcs_10_1000_2_4.txt,1000,beam_search_glcs,h8,2,0.1439,True
sigma-2,mglcs_10_1000_2_4.txt,1000,imbs_glcs,h8,6,0.3236,True
sigma-2,mglcs_10_1000_2_4.txt,2500,beam_search_glcs,h8,2,0.1495,True
sigma-2,mglcs_10_1000_2_4.txt,2500,imbs_glcs,h8,6,0.3216,True
sigma-2,mglcs_10_1000_2_4.txt,10000,beam_search_glcs,h8,2,0.1482,True
sigma-2,mglcs_10_1000_2_5.txt,1,beam_search_glcs,h2,3,0.0020,True
sigma-2,mglcs_10_1000_2_5.txt,1,imbs_glcs,h2,4,0.0300,True
sigma-2,mglcs_10_1000_2_5.txt,10,beam_search_glcs,h2,3,0.0040,True
sigma-2,mglcs_10_1000_2_5.txt,10,imbs_glcs,h2,4,0.1541,True
sigma-2,mglcs_10_1000_2_5.txt,50,beam_search_glcs,h2,3,0.0030,True
sigma-2,mglcs_10_1000_2_5.txt,50,imbs_glcs,h2,4,0.1575,True
sigma-2,mglcs_10_1000_2_5.txt,100,beam_search_glcs,h2,3,0.0025,True
sigma-2,mglcs_10_1000_2_5.txt,100,imbs_glcs,h2,4,0.1575,True
sigma-2,mglcs_10_1000_2_5.txt,250,beam_search_glcs,h2,3,0.0030,True
sigma-2,mglcs_10_1000_2_5.txt,250,imbs_glcs,h2,4,0.1601,True
sigma-2,mglcs_10_1000_2_5.txt,500,beam_search_glcs,h2,3,0.0040,True
sigma-2,mglcs_10_1000_2_5.txt,500,imbs_glcs,h2,4,0.1575,True
sigma-2,mglcs_10_1000_2_5.txt,1000,beam_search_glcs,h2,3,0.0040,True
sigma-2,mglcs_10_1000_2_5.txt,1000,imbs_glcs,h2,4,0.1548,True
sigma-2,mglcs_10_1000_2_5.txt,2500,beam_search_glcs,h2,3,0.0030,True
sigma-2,mglcs_10_1000_2_5.txt,2500,imbs_glcs,h2,4,0.1666,True
sigma-2,mglcs_10_1000_2_5.txt,10000,beam_search_glcs,h2,3,0.0040,True
sigma-2,mglcs_10_1000_2_5.txt,1,beam_search_glcs,h5,2,0.0040,True
sigma-2,mglcs_10_1000_2_5.txt,1,imbs_glcs,h5,7,0.0290,True
sigma-2,mglcs_10_1000_2_5.txt,10,beam_search_glcs,h5,3,0.0060,True
sigma-2,mglcs_10_1000_2_5.txt,10,imbs_glcs,h5,4,0.1580,True
sigma-2,mglcs_10_1000_2_5.txt,50,beam_search_glcs,h5,3,0.0050,True
sigma-2,mglcs_10_1000_2_5.txt,50,imbs_glcs,h5,4,0.1585,True
sigma-2,mglcs_10_1000_2_5.txt,100,beam_search_glcs,h5,3,0.0060,True
sigma-2,mglcs_10_1000_2_5.txt,100,imbs_glcs,h5,4,0.1610,True
sigma-2,mglcs_10_1000_2_5.txt,250,beam_search_glcs,h5,3,0.0060,True
sigma-2,mglcs_10_1000_2_5.txt,250,imbs_glcs,h5,4,0.1561,True
sigma-2,mglcs_10_1000_2_5.txt,500,beam_search_glcs,h5,3,0.0050,True
sigma-2,mglcs_10_1000_2_5.txt,500,imbs_glcs,h5,4,0.1615,True
sigma-2,mglcs_10_1000_2_5.txt,1000,beam_search_glcs,h5,3,0.0060,True
sigma-2,mglcs_10_1000_2_5.txt,1000,imbs_glcs,h5,4,0.1638,True
sigma-2,mglcs_10_1000_2_5.txt,2500,beam_search_glcs,h5,3,0.0070,True
sigma-2,mglcs_10_1000_2_5.txt,2500,imbs_glcs,h5,4,0.1821,True
sigma-2,mglcs_10_1000_2_5.txt,10000,beam_search_glcs,h5,3,0.0070,True
sigma-2,mglcs_10_1000_2_5.txt,1,beam_search_glcs,h8,3,0.1475,True
sigma-2,mglcs_10_1000_2_5.txt,1,imbs_glcs,h8,3,0.1952,True
sigma-2,mglcs_10_1000_2_5.txt,10,beam_search_glcs,h8,3,0.1661,True
sigma-2,mglcs_10_1000_2_5.txt,10,imbs_glcs,h8,4,0.3155,True
sigma-2,mglcs_10_1000_2_5.txt,50,beam_search_glcs,h8,3,0.1596,True
sigma-2,mglcs_10_1000_2_5.txt,50,imbs_glcs,h8,4,0.3152,True
sigma-2,mglcs_10_1000_2_5.txt,100,beam_search_glcs,h8,3,0.1553,True
sigma-2,mglcs_10_1000_2_5.txt,100,imbs_glcs,h8,4,0.3056,True
sigma-2,mglcs_10_1000_2_5.txt,250,beam_search_glcs,h8,3,0.1645,True
sigma-2,mglcs_10_1000_2_5.txt,250,imbs_glcs,h8,4,0.3273,True
sigma-2,mglcs_10_1000_2_5.txt,500,beam_search_glcs,h8,3,0.1499,True
sigma-2,mglcs_10_1000_2_5.txt,500,imbs_glcs,h8,4,0.3345,True
sigma-2,mglcs_10_1000_2_5.txt,1000,beam_search_glcs,h8,3,0.1610,True
sigma-2,mglcs_10_1000_2_5.txt,1000,imbs_glcs,h8,4,0.3375,True
